location,title,subtitle,year_km_fuel,price,detail_url
Dusseldorp Schiedam,Alpina XB7,SWITCH-TRONIC Allrad,2025 | 21772 km | Benzine,€ 224.900,https://www.dusseldorpbmw.nl/aanbod/alpina-xb7-occasion-switch-tronic-allrad-46389921
Dusseldorp Den Haag,BMW 2 Serie,216i 7p. Gran Tourer Luxury Line,2022 | 66161 km | Benzine,€ 23.900,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-216i-7p-gran-tourer-luxury-line-46390125
Dusseldorp Rotterdam Zuid,BMW X5,xDrive50e M Sport Pro,2023 | 10055 km | Hybrid,€ 99.950,https://www.dusseldorpbmw.nl/aanbod/bmw-x5-occasion-xdrive50e-m-sport-pro-46394394
Dusseldorp Rotterdam Zuid,BMW XM,Label Red,2025 | 10 km | Hybrid,€ 227.220,https://www.dusseldorpbmw.nl/aanbod/bmw-xm-nieuw-label-red-46395466
Dusseldorp Den Haag,BMW 2 Serie,218i Gran Coupe M-Sport,2021 | 102500 km | Benzine,€ 25.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-218i-gran-coupe-m-sport-46395742
Dusseldorp Den Haag,BMW 2 Serie,216i Gran Tourer 7p. Luxury Line,2022 | 109095 km | Benzine,€ 20.900,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-216i-gran-tourer-7p-luxury-line-46397430
Dusseldorp Den Haag,BMW X3,30e xDrive M-Sport Pro,2025 | 6999 km | Hybrid,€ 85.527,https://www.dusseldorpbmw.nl/aanbod/bmw-x3-company-car-30e-xdrive-m-sport-pro-46398776
Dusseldorp Zwolle,BMW X5,xDrive50e M-Sport Pro Hybrid,2024 | 40643 km | Hybrid,€ 99.950,https://www.dusseldorpbmw.nl/aanbod/bmw-x5-occasion-xdrive50e-m-sport-pro-hybrid-46399022
Dusseldorp Rotterdam Zuid,BMW 3 Serie,Touring 320i M Sport,2022 | 77255 km | Benzine,€ 40.995,https://www.dusseldorpbmw.nl/aanbod/bmw-3-serie-occasion-touring-320i-m-sport-46410454
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.254,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46410833
Dusseldorp Rotterdam Zuid,BMW 2 Serie,Gran Coupé 218i M Sport,2022 | 90926 km | Benzine,€ 28.995,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-gran-coupe-218i-m-sport-46410853
Dusseldorp Oostzaan,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.254,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46411014
Dusseldorp Wateringen,Alpina B3,GT Touring SWITCH-TRONIC Allrad,2025 | 10 km | Benzine,€ 192.012,https://www.dusseldorpbmw.nl/aanbod/alpina-b3-nieuw-gt-touring-switch-tronic-allrad-46411937
Dusseldorp Den Haag,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.254,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46412048
