Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW 5 Serie,Touring 530e | M Sportpakket Pro | Individual Lak | Innovation Pack | Comfort Pack | Iconic Glow,2025,0 km,Hybride benzine,"102.049,-","1.249,-",https://www.ekris.nl/bmw/p/46625159/bmw-5-serie-touring-46625159,Ekris Utrecht
BMW 5 Serie,Touring 530e | M Sportpakket Pro | Individual Lak | Trekhaak | Innovation Pack | Comfort Pack,2025,5 km,Hybride benzine,"102.049,-","1.249,-",https://www.ekris.nl/bmw/p/46625392/bmw-5-serie-touring-46625392,Ekris Veenendaal
BMW X3,xDrive20i M Sportpakket Pro | Comfort Pack | Premium Pack,2025,5 km,Benzine,"102.321,-","1.347,-",https://www.ekris.nl/bmw/p/43850098/bmw-x3-xdrive20i-43850098,Ekris Flevoland
BMW 4 Serie,430i xDrive Coupé | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"102.542,-","1.350,-",https://www.ekris.nl/bmw/p/45293104/bmw-4-serie-430i-xdrive-coupe-45293104,Ekris Veenendaal
BMW 4 Serie,Coupé 430i xDrive | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"102.625,-","1.351,-",https://www.ekris.nl/bmw/p/44419441/bmw-4-serie-coupe-430i-xdrive-44419441,Ekris Utrecht
BMW X5,xDrive50e | M Sportpakket Pro | Innovation Pack | Comfort Access | Stoelverwarming | Harman Kardon | Trekhaak,2024,39.207 km,Hybride benzine,"102.995,-","1.403,-",https://www.ekris.nl/bmw/p/46044487/bmw-x5-xdrive50e-46044487,Ekris Arnhem
BMW iX,xDrive45 | M Sportpakket Pro | Comfort Pack | Innovation Pack,2025,5 km,Elektrisch,"103.040,-","1.285,-",https://www.ekris.nl/bmw/p/46130008/bmw-ix-xdrive45-46130008,Ekris Assen
BMW X2,M35i xDrive | M Sport Package Pro | Equipment Package Pro,2025,5 km,Benzine,"103.330,-","1.360,-",https://www.ekris.nl/bmw/p/43487670/bmw-x2-m35i-xdrive-43487670,Ekris Groningen
BMW iX,xDrive40 | Sport Package,2025,5 km,Elektrisch,"103.522,-","1.291,-",https://www.ekris.nl/bmw/p/43487658/bmw-ix-xdrive40-43487658,Ekris Groningen
BMW iX,xDrive40 | Sport Package,2025,5 km,Elektrisch,"103.522,-","1.291,-",https://www.ekris.nl/bmw/p/43431269/bmw-ix-xdrive40-43431269,Ekris Assen
BMW X1,M35i | M Sportpakket Pro | Innovation Pack | Travel Pack,2025,5 km,Benzine,"103.610,-","1.364,-",https://www.ekris.nl/bmw/p/46672885/bmw-x1-m35i-46672885,Ekris Arnhem
