Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW i4,eDrive40,€ 54.900 v.a. € 485 p/m,2024 17.413 km Automaat Elektrisch,v.a. € 485 p/m,Van Poelgeest Amersfoort
MINI Cooper 3-deurs,1.5 Cooper C Essential XS,€ 40.195 v.a. € 412 p/m,2025 5.210 km Automaat Benzine,v.a. € 412 p/m,Van Poelgeest Amstelveen
BMW X2,sDrive20i,€ 70.295 v.a. € 721 p/m,2025 1 km Automaat Benzine,v.a. € 721 p/m,Van Poelgeest Woerden
BMW X7,xDrive40i,€ 194.815 v.a. € 2000 p/m,2025 1 km Automaat Benzine,v.a. € 2000 p/m,Van Poelgeest Amersfoort
BMW 5 Serie Touring,530e M Sport Edition,€ 87.839 v.a. € 839 p/m,2025 1 km Automaat Hybride,v.a. € 839 p/m,Van Poelgeest Woerden
BMW 5 Serie Touring,520i,€ 92.752 v.a. € 952 p/m,2025 1 km Automaat Benzine,v.a. € 952 p/m,Van Poelgeest Amersfoort
BMW Z4,sDrive30i M Sport Plus Pakket,€ 57.995 v.a. € 720 p/m,2023 23.299 km Automaat Benzine,v.a. € 720 p/m,Van Poelgeest Woerden
Mini Countryman,Cooper S E ALL4 Classic,€ 37.900 v.a. € 479 p/m,2023 87.004 km Automaat Hybride,v.a. € 479 p/m,Van Poelgeest Noordwijk
BMW 2 Serie Coupé,220i,€ 70.921 v.a. € 728 p/m,2025 1 km Automaat Benzine,v.a. € 728 p/m,Van Poelgeest Gouda
BMW 5 Serie Touring,520d xDrive M-Sport,€ 69.900 v.a. € 717 p/m,2024 32.072 km Automaat Diesel,v.a. € 717 p/m,Van Poelgeest Hilversum
BMW 3 Serie Touring,330e xDrive,,2025 1 km Automaat Hybride,,Van Poelgeest Alphen aan den Rijn
BMW 3 Serie Sedan,330e,€ 69.470 v.a. € 664 p/m,2025 1 km Automaat Hybride,v.a. € 664 p/m,Van Poelgeest Heemstede
BMW 2 Serie Gran Coupé,220 Innovation Pack M Sportpakket Pro,€ 51.895 v.a. € 533 p/m,2025 13.709 km Automaat Benzine,v.a. € 533 p/m,Van Poelgeest Gouda
MINI Cooper 3-deurs Electric,Business Edition 33 kWh,€ 19.900 v.a. € 204 p/m,2021 30.198 km Automaat Elektrisch,v.a. € 204 p/m,Van Poelgeest Heemstede
BMW 1 Serie,118i M-Sport,€ 29.900 v.a. € 307 p/m,2022 59.607 km Automaat Benzine,v.a. € 307 p/m,Van Poelgeest Hilversum
BMW X7,xDrive40i,€ 195.311 v.a. € 2005 p/m,2025 1 km Automaat Benzine,v.a. € 2005 p/m,Van Poelgeest Amstelveen
BMW 2 Serie Coupé,220i,€ 71.081 v.a. € 730 p/m,2025 1 km Automaat Benzine,v.a. € 730 p/m,Van Poelgeest Amstelveen
MINI Cooper 5-deurs,S,€ 59.690 v.a. € 613 p/m,2025 4.999 km Automaat Benzine,v.a. € 613 p/m,Van Poelgeest Amsterdam
BMW X3,30e xDrive,€ 85.634 v.a. € 818 p/m,2025 1 km Automaat Hybride,v.a. € 818 p/m,Van Poelgeest Amsterdam
MINI Cooper Cabrio,Cooper Classic,€ 38.900 v.a. € 399 p/m,2024 12.940 km Automaat Benzine,v.a. € 399 p/m,Van Poelgeest Amsterdam
BMW iX1,eDrive20,€ 44.900 v.a. € 480 p/m,2024 10.912 km Automaat Elektrisch,v.a. € 480 p/m,Van Poelgeest Amersfoort
BMW i5 Touring,eDrive40,€ 98.492 v.a. € 870 p/m,2025 4.999 km Automaat Elektrisch,v.a. € 870 p/m,Van Poelgeest Amsterdam
BMW M3 Sedan,xDrive Competition,€ 187.185 v.a. € 1921 p/m,2025 0 km Automaat Benzine,v.a. € 1921 p/m,Van Poelgeest Amersfoort
